AgeFrom,AgeTo,AgeLabelTH,ItemNo,Skill,Description,Method,PassCriteria,Track,SourcePage,NeedsReview
0,1,แรกเกิด - 1 เดือน,1,GM,ท่านอนคว่ำ ยกศีรษะและหันไปข้างใดข้างหนึ่งได้,,,Teacher,79,
0,1,แรกเกิด - 1 เดือน,2,FM,มองตามถึงกึ่งกลางลำตัว,,,Teacher,79,
0,1,แรกเกิด - 1 เดือน,3,RL,สะดุ้งหรือเคลื่อนไหวร่างกายเมื่อได้ยินเสียงพูดระดับปกติ,,,Teacher,79,
0,1,แรกเกิด - 1 เดือน,4,EL,ส่งเสียงอ้อแอ้,,,Teacher,79,
0,1,แรกเกิด - 1 เดือน,5,PS,มองจ้องหน้าได้นาน 1-2 วินาที,,,Teacher,79,
1,2,1 - 2 เดือน,6,GM,ท่านอนคว่ำ ยกศีรษะตั้งขึ้นได้ 45 องศา นาน 3 วินาที,,,Teacher,79,
1,2,1 - 2 เดือน,7,FM,มองตามผ่านกึ่งกลางลำตัว,,,Teacher,79,
1,2,1 - 2 เดือน,8,RL,มองหน้าผู้พูดคุยได้นาน 5 วินาที,,,Teacher,79,
1,2,1 - 2 เดือน,9,EL,"ทำเสียงในลำคอ (เสียง ""อู"" หรือ ""อา"" หรือ ""อือ"") อย่างชัดเจน",,,Teacher,79,
1,2,1 - 2 เดือน,10,PS,ยิ้มตอบหรือส่งเสียงตอบได้ เมื่อพ่อแม่ ผู้ปกครองหรือผู้ประเมินยิ้มและพูดคุยด้วย,,,Teacher,79,
3,4,3 - 4 เดือน,11,GM,ท่านอนคว่ำยกศีรษะและอกพ้นพื้น,,,Teacher,79,
3,4,3 - 4 เดือน,12,FM,มองตามสิ่งของที่เคลื่อนที่ได้,,,Teacher,79,
3,4,3 - 4 เดือน,13,RL,หันตามเสียงได้,,,Teacher,79,
3,4,3 - 4 เดือน,14,EL,ทำเสียงสูง ๆ ต่ำ ๆ เพื่อแสดงความรู้สึก,,,Teacher,79,
3,4,3 - 4 เดือน,15,PS,ยิ้มทักคนที่คุ้นเคย,,,Teacher,79,
5,6,5 - 6 เดือน,16,GM,ยันตัวขึ้นจากท่านอนคว่ำ โดยเหยียดแขนตรงทั้งสองข้างได้,,,Teacher,79,
5,6,5 - 6 เดือน,17,FM,เอื้อมมือหยิบและถือวัตถุไว้ขณะอยู่ในท่านอนหงาย,,,Teacher,79,
5,6,5 - 6 เดือน,18,RL,หันตามเสียงเรียก,,,Teacher,79,
5,6,5 - 6 เดือน,19,EL,เลียนแบบการเล่นทำเสียงได้,,,Teacher,79,
5,6,5 - 6 เดือน,20,PS,สนใจฟังคนพูดและสามารถมองไปที่ของเล่นที่ผู้ทดสอบเล่นกับเด็ก,,,Teacher,79,
7,8,7 - 8 เดือน,21,GM,นั่งได้มั่นคง และเอี้ยวตัวใช้มือเล่นได้อย่างอิสระ (sit stable),,,Teacher,79,
7,8,7 - 8 เดือน,22,GM,ยืนเกาะเครื่องเรือนสูงระดับอกได้,,,Teacher,79,
7,8,7 - 8 เดือน,23,FM,จ้องมองไปที่หนังสือพร้อมกับผู้ใหญ่นาน 2-3 วินาที,,,Teacher,79,
